indicator,nonnull_cells
"School enrollment, tertiary (gross), gender parity index (GPI)",63
"Stocks traded, total value (current US$)",63
"Net financial flows, IBRD (NFL, current US$)",62
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",62
"School enrollment, primary, private (% of total primary)",62
Armed forces personnel (% of total labor force),61
"Hospital beds (per 1,000 people)",61
"Risk premium on lending (lending rate minus treasury bill rate, %)",61
"Stocks traded, total value (% of GDP)",61
Market capitalization of listed domestic companies (% of GDP),61
"School enrollment, secondary, male (% gross)",60
"Stocks traded, turnover ratio of domestic shares (%)",60
"School enrollment, secondary, female (% gross)",60
"Tertiary education, academic staff (% female)",60
"Immunization, HepB3 (% of one-year-old children)",58
"Adjusted net savings, excluding particulate emission damage (current US$)",58
"Children out of school, primary",58
"Adjusted net savings, excluding particulate emission damage (% of GNI)",58
"Portfolio equity, net inflows (BoP, current US$)",58
"Adjusted net savings, including particulate emission damage (current US$)",58
Children out of school (% of primary school age),58
"Adjusted net savings, including particulate emission damage (% of GNI)",58
Proportion of seats held by women in national parliaments (%),57
"Primary completion rate, total (% of relevant age group)",56
"Net bilateral aid flows from DAC donors, Spain (current US$)",56
"Preprimary education, duration (years)",56
Scientific and technical journal articles,54
"Government expenditure on education, total (% of GDP)",54
"Secondary education, teachers",54
"Secondary income, other sectors, payments (BoP, current US$)",53
"Railways, passengers carried (million passenger-km)",52
"International tourism, number of arrivals",52
"Railways, goods transported (million ton-km)",52
Transport services (% of commercial service imports),51
"Access to electricity, rural (% of rural population)",51
Military expenditure (% of general government expenditure),51
"Transport services (% of service exports, BoP)",51
"Computer, communications and other services (% of commercial service exports)",51
Travel services (% of commercial service exports),51
"Communications, computer, etc. (% of service imports, BoP)",51
"Transport services (% of service imports, BoP)",51
"Primary completion rate, male (% of relevant age group)",51
"Compulsory education, duration (years)",51
"Government expenditure on education, total (% of government expenditure)",51
Transport services (% of commercial service exports),51
Access to electricity (% of population),51
Travel services (% of commercial service imports),51
"Primary completion rate, female (% of relevant age group)",51
"Travel services (% of service exports, BoP)",51
"Access to electricity, urban (% of urban population)",51
"Computer, communications and other services (% of commercial service imports)",51
"Travel services (% of service imports, BoP)",51
"Communications, computer, etc. (% of service exports, BoP)",51
"Incidence of tuberculosis (per 100,000 people)",50
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),50
"Tuberculosis case detection rate (%, all forms)",50
"Prevalence of stunting, height for age, female (modeled estimate, % of children under 5)",50
"Prevalence of overweight (modeled estimate, % of children under 5)",50
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",50
"Prevalence of overweight, male (modeled estimate, % of children under 5)",50
"Prevalence of overweight, female (modeled estimate, % of children under 5)",50
"Incidence of malaria (per 1,000 population at risk)",50
Asylum-seekers by country or territory of origin,50
Antiretroviral therapy coverage (% of people living with HIV),50
"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",50
"People using at least basic sanitation services, urban (% of urban population)",50
"People using at least basic drinking water services, rural (% of rural population)",50
People using safely managed sanitation services (% of population),50
"People using at least basic drinking water services, urban (% of urban population)",50
People using at least basic sanitation services (% of population),50
"People practicing open defecation, urban (% of urban population)",50
People using safely managed drinking water services (% of population),50
People using at least basic drinking water services (% of population),50
"People using at least basic sanitation services, rural (% of rural population)",50
"Tariff rate, applied, weighted mean, all products (%)",49
"Tariff rate, applied, simple mean, all products (%)",49
"Tariff rate, most favored nation, weighted mean, primary products (%)",49
"School enrollment, secondary (gross), gender parity index (GPI)",49
"Tariff rate, applied, weighted mean, primary products (%)",49
"Tariff rate, applied, weighted mean, manufactured products (%)",49
"Tariff rate, most favored nation, simple mean, all products (%)",49
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",49
"Tariff rate, applied, simple mean, manufactured products (%)",49
"Tariff rate, most favored nation, weighted mean, all products (%)",49
Rail lines (total route-km),49
"Tariff rate, most favored nation, simple mean, primary products (%)",49
"Tariff rate, most favored nation, simple mean, manufactured products (%)",49
"Tariff rate, applied, simple mean, primary products (%)",49
Domestic general government health expenditure (% of current health expenditure),48
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",48
UHC service coverage sub-index on infectious diseases,48
Current health expenditure (% of GDP),48
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),48
Current health expenditure per capita (current US$),48
Out-of-pocket expenditure (% of current health expenditure),48
Out-of-pocket expenditure per capita (current US$),48
"Secondary education, vocational pupils",48
"Current health expenditure per capita, PPP (current international $)",48
Prevalence of anemia among non-pregnant women (% of women ages 15-49),48
"Out-of-pocket expenditure per capita, PPP (current international $)",48
Total greenhouse gas emissions including LULUCF (Mt CO2e),48
"Access to clean fuels and technologies for cooking, rural (% of rural population)",48
Trained teachers in primary education (% of total teachers),48
UHC service coverage sub-index on service capacity and access,48
Tuberculosis treatment success rate (% of new cases),48
"Domestic private health expenditure per capita, PPP (current international $)",48
Domestic general government health expenditure per capita (current US$),48
Domestic private health expenditure (% of current health expenditure),48
UHC service coverage index,48
"Personal remittances, received (current US$)",48
Access to clean fuels and technologies for cooking (% of population),48
"Access to clean fuels and technologies for cooking, urban (% of urban population)",48
Domestic general government health expenditure (% of GDP),48
UHC service coverage sub-index on non-communicable diseases,48
Investment in energy with private participation (current US$),48
Prevalence of anemia among pregnant women (%),48
Domestic private health expenditure per capita (current US$),48
"Domestic general government health expenditure per capita, PPP (current international $)",48
Prevalence of anemia among women of reproductive age (% of women ages 15-49),48
"Personal remittances, received (% of GDP)",48
Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),48
Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),48
Domestic general government health expenditure (% of general government expenditure),48
"UHC service coverage sub-index on reproductive, maternal, newborn and child health",48
"Pupil-teacher ratio, secondary",47
"Insurance and financial services (% of service exports, BoP)",47
"Secondary education, teachers, female",47
Insurance and financial services (% of commercial service exports),47
Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),47
Fixed broadband subscriptions (per 100 people),47
Fixed broadband subscriptions,47
"PPG, IDA (DOD, current US$)",47
"Secondary education, teachers (% female)",47
"IBRD loans and IDA credits (DOD, current US$)",47
"Secondary education, pupils (% female)",46
Container port traffic (TEU: 20 foot equivalent units),46
Prevalence of undernourishment (% of population),46
"Nurses and midwives (per 1,000 people)",46
Real effective exchange rate index (2010 = 100),46
"Intentional homicides (per 100,000 people)",45
"Trained teachers in primary education, female (% of female teachers)",45
"Trained teachers in primary education, male (% of male teachers)",45
Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),45
Public private partnerships investment in energy (current US$),45
"Net financial flows, IDA (NFL, current US$)",45
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",45
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",45
Adolescents out of school (% of lower secondary school age),45
"Suicide mortality rate (per 100,000 population)",44
"PPG, official creditors (NFL, US$)",44
"External debt stocks, long-term (DOD, current US$)",44
Short-term debt (% of total external debt),44
"International tourism, receipts (current US$)",44
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",44
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",44
"Multilateral debt service (TDS, current US$)",44
Multilateral debt service (% of public and publicly guaranteed debt service),44
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",44
"External debt stocks, total (DOD, current US$)",44
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",44
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",44
"Net financial flows, others (NFL, current US$)",44
ICT goods exports (% of total goods exports),44
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",44
"Secondary education, vocational pupils (% female)",44
"Debt service on external debt, total (TDS, current US$)",44
Energy intensity level of primary energy (MJ/$2017 PPP GDP),44
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",44
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",44
"External debt stocks, short-term (DOD, current US$)",44
"Net financial flows, multilateral (NFL, current US$)",44
ICT goods imports (% total goods imports),44
"International tourism, receipts (% of total exports)",44
"Suicide mortality rate, female (per 100,000 female population)",44
"Suicide mortality rate, male (per 100,000 male population)",44
S&P Global Equity Indices (annual % change),43
"Over-age students, primary (% of enrollment)",43
Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),42
"Share of youth not in education, employment or training, male (% of male youth population) (modeled ILO estimate)",42
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",42
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",42
Low-birthweight babies (% of births),42
People practicing open defecation (% of population),42
"Labor force participation rate for ages 15-24, total (%) (national estimate)",42
"International tourism, expenditures (current US$)",42
"People practicing open defecation, rural (% of rural population)",42
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",42
"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",42
"School enrollment, primary and secondary (gross), gender parity index (GPI)",42
"Labor force participation rate for ages 15-24, male (%) (national estimate)",42
"Labor force participation rate for ages 15-24, female (%) (national estimate)",42
"Lower secondary completion rate, total (% of relevant age group)",42
"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",42
"International tourism, expenditures (% of total imports)",42
"School enrollment, primary (% net)",41
GNI per capita (constant 2015 US$),40
"Adolescents out of school, male (% of male lower secondary school age)",40
GNI (constant 2015 US$),40
GNI per capita (constant LCU),40
Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),40
"Mortality caused by road traffic injury (per 100,000 population)",40
"GNI per capita, PPP (constant 2021 international $)",40
Prevalence of anemia among children (% of children ages 6-59 months),40
"GNI, PPP (constant 2021 international $)",40
"Adolescents out of school, female (% of female lower secondary school age)",40
GNI (constant LCU),40
"Use of IMF credit (DOD, current US$)",39
"Net bilateral aid flows from DAC donors, Ireland (current US$)",39
"Prevalence of underweight, weight for age (% of children under 5)",39
Expenditure on primary education (% of government expenditure on education),39
"IMF repurchases and charges (TDS, current US$)",39
"Automated teller machines (ATMs) (per 100,000 adults)",39
GNI per capita growth (annual %),38
"Adjusted net enrollment rate, primary (% of primary school age children)",38
"Binding coverage, all products (%)",38
External health expenditure (% of current health expenditure),38
"Binding coverage, primary products (%)",38
"External health expenditure per capita, PPP (current international $)",38
External health expenditure per capita (current US$),38
"Binding coverage, manufactured products (%)",38
Expenditure on secondary education (% of government expenditure on education),37
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",37
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",37
"Bound rate, simple mean, primary products (%)",37
"Bound rate, simple mean, manufactured products (%)",37
"Bound rate, simple mean, all products (%)",37
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",37
Total debt service (% of GNI),36
External debt stocks (% of GNI),36
Expenditure on tertiary education (% of government expenditure on education),36
"Net official flows from UN agencies, IAEA (current US$)",36
"Commercial bank branches (per 100,000 adults)",36
Public and publicly guaranteed debt service (% of GNI),36
"Lower secondary completion rate, male (% of relevant age group)",36
"PPG, private creditors (NFL, US$)",36
"Net official flows from UN agencies, WFP (current US$)",36
"Net financial flows, bilateral (NFL, current US$)",36
"Lower secondary completion rate, female (% of relevant age group)",36
Investment in transport with private participation (current US$),36
"Industrial design applications, resident, by count",35
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",35
"Industrial design applications, nonresident, by count",35
"Gross fixed capital formation, private sector (current LCU)",35
"Gross fixed capital formation, private sector (% of GDP)",35
Public private partnerships investment in transport (current US$),34
"Net bilateral aid flows from DAC donors, Portugal (current US$)",34
Bank capital to assets ratio (%),34
Bank nonperforming loans to total gross loans (%),34
"Employment to population ratio, ages 15-24, female (%) (national estimate)",33
"Employment to population ratio, ages 15-24, total (%) (national estimate)",33
"Employment to population ratio, ages 15-24, male (%) (national estimate)",33
"Prevalence of stunting, height for age (% of children under 5)",33
"Persistence to grade 5, total (% of cohort)",32
"Children out of school, male (% of male primary school age)",32
"Share of youth not in education, employment or training, male (% of male youth population)",32
High-technology exports (% of manufactured exports),32
"Net bilateral aid flows from DAC donors, Hungary (current US$)",32
"Children out of school, female (% of female primary school age)",32
"Children out of school, primary, male",32
"Share of youth not in education, employment or training, total (% of youth population)",32
Liner shipping connectivity index (maximum value in 2004 = 100),32
"PPG, commercial banks (NFL, current US$)",32
"Prevalence of wasting, weight for height (% of children under 5)",32
"Net financial flows, RDB concessional (NFL, current US$)",32
High-technology exports (current US$),32
"Share of youth not in education, employment or training, female (% of female youth population)",32
"Children out of school, primary, female",32
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",32
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",31
"Internally displaced persons, new displacement associated with disasters (number of cases)",31
"Unemployment with basic education, female (% of female labor force with basic education)",31
Unemployment with intermediate education (% of total labor force with intermediate education),31
"Unemployment with basic education, male (% of male labor force with basic education)",31
"Unemployment with advanced education, male (% of male labor force with advanced education)",31
"Net official flows from UN agencies, IFAD (current US$)",31
Unemployment with basic education (% of total labor force with basic education),31
Unemployment with advanced education (% of total labor force with advanced education),31
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",31
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",31
Primary government expenditures as a proportion of original approved budget (%),31
Labor force with advanced education (% of total working-age population with advanced education),30
Short-term debt (% of total reserves),30
"Contraceptive prevalence, any method (% of married women ages 15-49)",30
"Labor force with basic education, female (% of female working-age population with basic education)",30
Births attended by skilled health staff (% of total),30
Labor force with intermediate education (% of total working-age population with intermediate education),30
Secure Internet servers (per 1 million people),30
"Labor force with basic education, male (% of male working-age population with basic education)",30
Labor force with basic education (% of total working-age population with basic education),30
"Trademark applications, nonresident, by count",30
Total reserves (% of total external debt),30
Forcibly displaced people,30
"Unemployment with advanced education, female (% of female labor force with advanced education)",30
Secure Internet servers,30
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",30
"Labor force with advanced education, male (% of male working-age population with advanced education)",30
"Trademark applications, resident, by count",30
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",30
"Labor force with advanced education, female (% of female working-age population with advanced education)",30
Other taxes (% of revenue),29
"Central government debt, total (% of GDP)",29
Taxes on goods and services (% of revenue),29
Interest payments (current LCU),29
Goods and services expense (current LCU),29
"Taxes on income, profits and capital gains (current LCU)",29
"Persistence to last grade of primary, total (% of cohort)",29
Customs and other import duties (% of tax revenue),29
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",29
"Revenue, excluding grants (% of GDP)",29
Other taxes (current LCU),29
"Short-term debt (% of exports of goods, services and primary income)",29
"Central government debt, total (current LCU)",29
Taxes on exports (current LCU),29
"Revenue, excluding grants (current LCU)",29
New businesses registered (number),29
Net lending (+) / net borrowing (-) (% of GDP),29
"PPG, other private creditors (NFL, current US$)",29
"Charges for the use of intellectual property, payments (BoP, current US$)",29
"Taxes on income, profits and capital gains (% of revenue)",29
Customs and other import duties (current LCU),29
"Taxes on income, profits and capital gains (% of total taxes)",29
Net investment in nonfinancial assets (% of GDP),29
Net lending (+) / net borrowing (-) (current LCU),29
"New business density (new registrations per 1,000 people ages 15-64)",29
Interest payments (% of revenue),29
"Prevalence of overweight, weight for height (% of children under 5)",29
Net investment in nonfinancial assets (current LCU),29
Other expense (current LCU),29
Grants and other revenue (current LCU),29
Taxes on international trade (current LCU),29
Taxes on goods and services (current LCU),29
Taxes on international trade (% of revenue),29
Compensation of employees (current LCU),29
"Total debt service (% of exports of goods, services and primary income)",29
Taxes on goods and services (% value added of industry and services),29
Tax revenue (% of GDP),29
Grants and other revenue (% of revenue),29
Taxes on exports (% of tax revenue),29
Subsidies and other transfers (current LCU),29
Tax revenue (current LCU),29
"Part time employment, total (% of total employment)",28
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",28
Subsidies and other transfers (% of expense),28
"Net bilateral aid flows from DAC donors, Czechia (current US$)",28
"Part time employment, male (% of total male employment)",28
"Persistence to grade 5, female (% of cohort)",28
Expense (current LCU),28
"Net financial flows, RDB nonconcessional (NFL, current US$)",28
Expense (% of GDP),28
Net ODA received (% of central government expense),28
Goods and services expense (% of expense),28
Compensation of employees (% of expense),28
Other expense (% of expense),28
"Part time employment, female (% of total female employment)",28
Interest payments (% of expense),28
"Persistence to grade 5, male (% of cohort)",28
"Pupil-teacher ratio, lower secondary",28
Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),27
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),27
Income share held by highest 10%,27
Prosperity gap (average shortfall from a prosperity standard of $25/day),27
Taxes less subsidies on products (constant LCU),27
Poverty gap at $2.15 a day (2017 PPP) (%),27
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",27
Poverty headcount ratio at societal poverty line (% of population),27
Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),27
Income share held by third 20%,27
Income share held by lowest 20%,27
Income share held by lowest 10%,27
Poverty gap at $4.20 a day (2021 PPP) (%),27
"Net bilateral aid flows from DAC donors, Poland (current US$)",27
Poverty gap at $6.85 a day (2017 PPP) (%),27
"Net official flows from UN agencies, UNAIDS (current US$)",27
"PPG, bonds (NFL, current US$)",27
Gini index,27
Income share held by second 20%,27
Income share held by highest 20%,27
Proportion of people living below 50 percent of median income (%),27
Income share held by fourth 20%,27
Terrestrial and marine protected areas (% of total territorial area),26
"International tourism, receipts for passenger transport items (current US$)",26
Marine protected areas (% of territorial waters),26
"International tourism, expenditures for travel items (current US$)",26
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",26
"Net official flows from UN agencies, WHO (current US$)",26
"Charges for the use of intellectual property, receipts (BoP, current US$)",26
"Persistence to last grade of primary, female (% of cohort)",26
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",26
Progression to secondary school (%),26
"ICT service exports (BoP, current US$)",26
"Persistence to last grade of primary, male (% of cohort)",26
Terrestrial protected areas (% of total land area),26
"Current education expenditure, primary (% of total expenditure in primary public institutions)",26
"International tourism, receipts for travel items (current US$)",26
"Over-age students, primary, male (% of male enrollment)",26
"International tourism, expenditures for passenger transport items (current US$)",26
"Insurance and financial services (% of service imports, BoP)",26
"ICT service exports (% of service exports, BoP)",26
Insurance and financial services (% of commercial service imports),26
"Current education expenditure, total (% of total expenditure in public institutions)",26
"Over-age students, primary, female (% of female enrollment)",26
"Net financial flows, IMF nonconcessional (NFL, current US$)",25
"People using safely managed sanitation services, rural (% of rural population)",25
"People using safely managed sanitation services, urban (% of urban population)",25
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",25
"People using safely managed drinking water services, urban (% of urban population)",25
Research and development expenditure (% of GDP),25
External balance on goods and services (constant LCU),25
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",25
Gross value added at basic prices (GVA) (constant 2015 US$),25
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",25
"Repeaters, primary, total (% of total enrollment)",25
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",25
"People using safely managed drinking water services, rural (% of rural population)",25
Gross value added at basic prices (GVA) (constant LCU),25
Discrepancy in expenditure estimate of GDP (constant LCU),25
Asylum-seekers by country or territory of asylum,25
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",25
Researchers in R&D (per million people),24
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",24
"Net official flows from UN agencies, ILO (current US$)",24
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",24
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",24
Bank liquid reserves to bank assets ratio (%),24
"School enrollment, secondary (% net)",24
Trained teachers in lower secondary education (% of total teachers),24
"School enrollment, secondary, private (% of total secondary)",24
Trained teachers in preprimary education (% of total teachers),24
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",24
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",24
"Government expenditure per student, primary (% of GDP per capita)",23
"Net incurrence of liabilities, total (current LCU)",23
Net acquisition of financial assets (% of GDP),23
"Prevalence of severe wasting, weight for height (% of children under 5)",23
"School enrollment, secondary, female (% net)",23
Net acquisition of financial assets (current LCU),23
Claims on other sectors of the domestic economy (annual growth as % of broad money),23
"Net incurrence of liabilities, total (% of GDP)",23
"School enrollment, secondary, male (% net)",23
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",22
"Repeaters, primary, female (% of female enrollment)",22
"Progression to secondary school, female (%)",22
"Repeaters, primary, male (% of male enrollment)",22
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",22
"Progression to secondary school, male (%)",22
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",22
"Government expenditure per student, tertiary (% of GDP per capita)",21
"Trained teachers in lower secondary education, female (% of female teachers)",21
"Trained teachers in lower secondary education, male (% of male teachers)",21
"People with basic handwashing facilities including soap and water, rural (% of rural population)",20
Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),20
People with basic handwashing facilities including soap and water (% of population),20
"School enrollment, primary, female (% net)",20
"School enrollment, primary, male (% net)",20
"People with basic handwashing facilities including soap and water, urban (% of urban population)",20
"Trained teachers in preprimary education, female (% of female teachers)",20
"Literacy rate, youth female (% of females ages 15-24)",19
"Adjusted net enrollment rate, primary, female (% of primary school age children)",19
Poverty headcount ratio at national poverty lines (% of population),19
"Net bilateral aid flows from DAC donors, Greece (current US$)",19
"Net capital account (BoP, current US$)",19
"Adjusted net enrollment rate, primary, male (% of primary school age children)",19
"Trained teachers in secondary education, female (% of female teachers)",18
Statistical performance indicators (SPI): Overall score (scale 0-100),18
Financial intermediary services indirectly Measured (FISIM) (current LCU),18
Technicians in R&D (per million people),18
Trained teachers in secondary education (% of total teachers),18
Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),18
"Individuals using the Internet, male (% of male population)",18
Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),18
"Trained teachers in secondary education, male (% of male teachers)",18
"Individuals using the Internet, female (% of female population)",18
"Prevalence of stunting, height for age, male (% of children under 5)",17
"Prevalence of stunting, height for age, female (% of children under 5)",17
"Trained teachers in preprimary education, male (% of male teachers)",17
Female share of employment in senior and middle management (%),17
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",17
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",17
"Literacy rate, youth total (% of people ages 15-24)",17
"Prevalence of wasting, weight for height, female (% of children under 5)",17
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",17
"Government expenditure per student, secondary (% of GDP per capita)",17
"Prevalence of wasting, weight for height, male (% of children under 5)",17
"Prevalence of underweight, weight for age, male (% of children under 5)",17
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",17
"Literacy rate, youth male (% of males ages 15-24)",17
"Prevalence of underweight, weight for age, female (% of children under 5)",17
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",17
Risk of impoverishing expenditure for surgical care (% of people at risk),16
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",16
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",16
International migrant stock (% of population),16
Average transaction cost of sending remittances to a specific country (%),16
Prevalence of current tobacco use (% of adults),16
Investment in water and sanitation with private participation (current US$),16
"Prevalence of overweight, weight for height, female (% of children under 5)",16
"Prevalence of severe wasting, weight for height, female (% of children under 5)",16
"Prevalence of current tobacco use, females (% of female adults)",16
"Literacy rate, adult female (% of females ages 15 and above)",16
"International migrant stock, total",16
"Prevalence of current tobacco use, males (% of male adults)",16
Prevalence of moderate or severe food insecurity in the population (%),16
"Literacy rate, adult male (% of males ages 15 and above)",16
"Literacy rate, adult total (% of people ages 15 and above)",16
"Prevalence of overweight, weight for height, male (% of children under 5)",16
"PNG, commercial banks and other creditors (NFL, current US$)",16
"Prevalence of severe wasting, weight for height, male (% of children under 5)",16
Prevalence of severe food insecurity in the population (%),16
Risk of catastrophic expenditure for surgical care (% of people at risk),16
"Net bilateral aid flows from DAC donors, Lithuania (current US$)",15
"PPG, IBRD (DOD, current US$)",15
Wholesale price index (2010 = 100),15
Public private partnerships investment in water and sanitation (current US$),15
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",15
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),14
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),14
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),14
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),14
Logistics performance index: Overall (1=low to 5=high),14
Diarrhea treatment (% of children under 5 who received ORS packet),14
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),14
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),14
Pregnant women receiving prenatal care (%),14
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",13
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",13
Arms exports (SIPRI trend indicator values),13
Proportion of population facing financial hardship due to out-of-pocket health expenditure (%),13
"Proportion of population facing impoverishing out-of-pocket health expenditure, based on the societal poverty line (%)",13
Proportion of population facing large (but non-impoverishing) out-of-pocket health expenditure (%),13
Population living in slums (% of urban population),13
"Proportion of population further impoverished due to out-of-pocket health expenditure, based on the societal poverty line (%)",12
"Cause of death, by non-communicable diseases (% of total)",12
"Lead time to export, median case (days)",12
"Cause of death, by other COVID-19 pandemic-related outcomes (% of total)",12
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",12
Proportion of population pushed into poverty (based on the societal poverty line) due to out-of-pocket health expenditure (%),12
"Lead time to import, median case (days)",12
"Cause of death, by injury (% of total)",12
CPIA debt policy rating (1=low to 6=high),11
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),11
CPIA macroeconomic management rating (1=low to 6=high),11
Multidimensional poverty headcount ratio (World Bank) (% of population),11
CPIA trade rating (1=low to 6=high),11
"Borrowers from commercial banks (per 1,000 adults)",11
IDA resource allocation index (1=low to 6=high),11
CPIA quality of public administration rating (1=low to 6=high),11
CPIA fiscal policy rating (1=low to 6=high),11
CPIA property rights and rule-based governance rating (1=low to 6=high),11
Agricultural irrigated land (% of total agricultural land),11
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",11
CPIA social protection rating (1=low to 6=high),11
CPIA business regulatory environment rating (1=low to 6=high),11
CPIA efficiency of revenue mobilization rating (1=low to 6=high),11
CPIA public sector management and institutions cluster average (1=low to 6=high),11
"Net official flows from UN agencies, FAO (current US$)",11
CPIA quality of budgetary and financial management rating (1=low to 6=high),11
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),11
CPIA equity of public resource use rating (1=low to 6=high),11
CPIA structural policies cluster average (1=low to 6=high),11
CPIA gender equality rating (1=low to 6=high),11
"Depositors with commercial banks (per 1,000 adults)",11
CPIA financial sector rating (1=low to 6=high),11
CPIA economic management cluster average (1=low to 6=high),11
CPIA building human resources rating (1=low to 6=high),11
Coverage of social safety net programs in 2nd quintile (% of population),10
Coverage of social insurance programs in 2nd quintile (% of population),10
Coverage of social insurance programs in richest quintile (% of population),10
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",10
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",10
Coverage of social safety net programs in 3rd quintile (% of population),10
Coverage of social safety net programs (% of population),10
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),10
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),10
Coverage of social safety net programs in 4th quintile (% of population),10
