indicator,nonnull_cells
"Foreign direct investment, net inflows (BoP, current US$)",110
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),110
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),110
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),110
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),110
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),110
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),110
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),110
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),110
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),110
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),110
Methane (CH4) emissions from Industrial Processes (Mt CO2e),110
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),110
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),110
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),110
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),110
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),110
Methane (CH4) emissions from Waste (Mt CO2e),110
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),110
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),110
DEC alternative conversion factor (LCU per US$),109
"Net bilateral aid flows from DAC donors, United States (current US$)",107
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),107
"Net official flows from UN agencies, UNICEF (current US$)",107
GDP (constant LCU),106
GDP per capita (constant 2015 US$),106
Mobile cellular subscriptions,106
GDP per capita (constant LCU),106
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),106
GDP (constant 2015 US$),106
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),106
GDP (current LCU),105
Merchandise trade (% of GDP),105
"Official exchange rate (LCU per US$, period average)",105
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),105
GDP per capita (current LCU),105
GDP per capita (current US$),105
Mobile cellular subscriptions (per 100 people),105
GDP (current US$),105
GDP deflator (base year varies by country),105
Adjusted savings: mineral depletion (current US$),104
External balance on goods and services (current LCU),104
Imports of goods and services (current US$),104
Exports of goods and services (current US$),104
"Agriculture, forestry, and fishing, value added (current LCU)",104
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),104
"Net bilateral aid flows from DAC donors, Denmark (current US$)",104
"Agriculture, forestry, and fishing, value added (% of GDP)",104
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),104
"Air transport, registered carrier departures worldwide",104
"Agriculture, forestry, and fishing, value added (current US$)",104
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),104
Exports of goods and services (current LCU),104
"Industry (including construction), value added (current US$)",104
Merchandise exports to economies in the Arab World (% of total merchandise exports),104
External balance on goods and services (current US$),104
Adjusted savings: education expenditure (% of GNI),104
GDP per capita growth (annual %),104
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),104
Imports of goods and services (current LCU),104
Trade (% of GDP),104
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),104
Adjusted savings: net forest depletion (current US$),104
Imports of goods and services (% of GDP),104
External balance on goods and services (% of GDP),104
Exports of goods and services (% of GDP),104
GDP growth (annual %),104
"Industry (including construction), value added (% of GDP)",104
"Air transport, passengers carried",104
"Industry (including construction), value added (current LCU)",104
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),104
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),104
"Inflation, GDP deflator (annual %)",103
Adjusted savings: energy depletion (current US$),103
GNI (current LCU),101
Imports of goods and services (constant 2015 US$),101
Exports of goods and services (constant LCU),101
Gross domestic income (constant LCU),101
Gross capital formation (constant LCU),101
"Net bilateral aid flows from DAC donors, Austria (current US$)",101
GNI per capita (current LCU),101
Exports as a capacity to import (constant LCU),101
Net primary income (Net income from abroad) (current US$),101
Gross capital formation (constant 2015 US$),101
Terms of trade adjustment (constant LCU),101
Exports of goods and services (constant 2015 US$),101
GNI (current US$),101
Imports of goods and services (constant LCU),101
Net primary income (Net income from abroad) (current LCU),101
"Net bilateral aid flows from DAC donors, Sweden (current US$)",100
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),100
Merchandise imports from economies in the Arab World (% of total merchandise imports),100
Gross capital formation (annual % growth),99
Refugees under the mandate of the UNHCR by country or territory of asylum,99
Net ODA received (% of GNI),99
"GNI, Atlas method (current US$)",99
"Net bilateral aid flows from DAC donors, Italy (current US$)",99
Imports of goods and services (annual % growth),99
Exports of goods and services (annual % growth),99
"GNI per capita, Atlas method (current US$)",99
Net secondary income (Net current transfers from abroad) (current US$),98
"Net bilateral aid flows from DAC donors, Belgium (current US$)",98
Net secondary income (Net current transfers from abroad) (current LCU),98
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),97
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),97
General government final consumption expenditure (constant 2015 US$),96
Gross fixed capital formation (constant 2015 US$),96
Households and NPISHs Final consumption expenditure (constant LCU),96
Gross fixed capital formation (constant LCU),96
Final consumption expenditure (constant 2015 US$),96
General government final consumption expenditure (constant LCU),96
Households and NPISHs Final consumption expenditure (constant 2015 US$),96
"School enrollment, primary (% gross)",96
Gross national expenditure (constant 2015 US$),96
Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),96
"Primary education, pupils",96
Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),96
Gross national expenditure (constant LCU),96
Final consumption expenditure (constant LCU),96
Changes in inventories (constant LCU),96
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),96
"Net bilateral aid flows from DAC donors, Norway (current US$)",96
Net foreign assets (current LCU),96
"Industry (including construction), value added (constant 2015 US$)",95
General government final consumption expenditure (current US$),95
Final consumption expenditure (% of GDP),95
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),95
Gross capital formation (current LCU),95
"Manufacturing, value added (constant 2015 US$)",95
"Manufacturing, value added (constant LCU)",95
Gross national expenditure (current US$),95
Gross fixed capital formation (current LCU),95
Gross domestic savings (current US$),95
"Total reserves (includes gold, current US$)",95
Households and NPISHs final consumption expenditure (% of GDP),95
Broad money (% of GDP),95
Broad money (current LCU),95
"Services, value added (constant LCU)",95
Consumer price index (2010 = 100),95
"Claims on central government, etc. (% GDP)",95
Domestic credit to private sector (% of GDP),95
Total reserves minus gold (current US$),95
Gross capital formation (% of GDP),95
