Country,DisasterType,Year,Deaths,Affected
Malaysia,Flood,2025,5.0,12500.0
Malaysia,Flood,2025,,251.0
Malaysia,Flood,2025,,4555.0
Viet Nam,Storm,2025,3.0,325.0
Viet Nam,Storm,2025,2.0,179.0
Viet Nam,Storm,2025,9.0,17500.0
Viet Nam,Storm,2025,2.0,3973.0
Viet Nam,Flood,2025,3.0,690.0
Malaysia,Flood,2025,13.0,3134.0
Viet Nam,Storm,2025,13.0,65000.0
Viet Nam,Storm,2025,1.0,696.0
Viet Nam,Storm,2025,10.0,414954.0
Viet Nam,Storm,2025,8.0,11407.0
Viet Nam,Storm,2025,108.0,808603.0
Malaysia,Flood,2025,3.0,18700.0
Malaysia,Flood,2025,,2103.0
Viet Nam,Flood,2018,20.0,6000.0
Viet Nam,Flood,2019,3.0,26255.0
Viet Nam,Storm,2019,1.0,20014.0
Viet Nam,Drought,2019,,685558.0
Malaysia,Flood,2022,3.0,228.0
Viet Nam,Storm,2020,5.0,4652.0
Malaysia,Flood,2020,,2000.0
Viet Nam,Storm,2020,243.0,1500000.0
Malaysia,Flood,2020,,400.0
Malaysia,Flood,2021,,6000.0
Malaysia,Flood,2021,8.0,23776.0
Viet Nam,Storm,2021,1.0,750.0
Malaysia,Flood,2022,,1290.0
Viet Nam,Flood,2022,5.0,10495.0
Viet Nam,Storm,2022,9.0,500.0
Viet Nam,Storm,2000,15.0,4.0
Viet Nam,Flood,2000,36.0,25003.0
Malaysia,Flood,2001,,5000.0
Malaysia,Flood,2001,11.0,18000.0
Viet Nam,Wildfire,2002,,
Viet Nam,Storm,2003,,5018.0
Malaysia,Flood,2003,,2000.0
Malaysia,Storm,2004,,1000.0
Malaysia,Flood,2005,4.0,600.0
Malaysia,Flood,2005,9.0,30000.0
Malaysia,Flood,2006,,500.0
Malaysia,Flood,2007,17.0,137533.0
Viet Nam,Flood,2008,4.0,500.0
Viet Nam,Storm,2008,11.0,
Viet Nam,Storm,2009,,
Viet Nam,Storm,2009,124.0,500145.0
Malaysia,Mass movement (wet),2011,16.0,6.0
Viet Nam,Flood,2011,85.0,600000.0
Viet Nam,Storm,2013,31.0,1835585.0
Malaysia,Drought,2014,,2200000.0
Viet Nam,Storm,2015,7.0,115.0
Malaysia,Flood,2015,1.0,3000.0
Viet Nam,Flood,2015,2.0,100.0
